Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/02  09:00:00,1.03367993945284,3.95651727391084,0.000000000000000E+000,2.87682591704006,0.000000000000000E+000,7.979842229972454E-002,7.979842229972454E-002,7.979842229972454E-002,0.241054754093649,4.944269694347590E-002,0.268690864190452,0.379618189865542,1.05354142016208 
 01/02  10:00:00,0.888379011496107,3.56675820663984,0.000000000000000E+000,2.58515594291515,0.000000000000000E+000,7.170797663545680E-002,7.170797663545680E-002,7.170797663545680E-002,0.123205777980724,2.527070783085009E-002,0.330033759705594,0.323085777283484,0.959346552979031 
 01/02  11:00:00,0.888800174887107,3.59314406345248,0.000000000000000E+000,2.72220904849940,0.000000000000000E+000,7.550960451016445E-002,7.550960451016445E-002,7.550960451016445E-002,0.101778637007394,2.087580567923118E-002,0.344876895795482,0.330684219834836,0.848155886739275 
 01/02  12:00:00,0.872890202692178,2.33124942449785,0.000000000000000E+000,1.55940028698893,0.000000000000000E+000,4.325520077470905E-002,4.325520077470905E-002,4.325520077470905E-002,0.101778637007394,2.087580567923118E-002,0.361120014768658,0.330785532402186,0.749063030395534 
 01/02  13:00:00,0.847397368329416,1.86974900255847,0.000000000000000E+000,1.17556774654461,0.000000000000000E+000,3.260831700835774E-002,3.260831700835774E-002,3.260831700835774E-002,0.101778637007394,2.087580567923118E-002,0.351846255376571,0.325213341197862,0.671778988377113 
 01/02  14:00:00,0.819036643758291,1.62267622251433,0.000000000000000E+000,0.973385559927853,0.000000000000000E+000,2.700011547848374E-002,2.700011547848374E-002,2.700011547848374E-002,0.101778637007394,2.087580567923118E-002,0.317848037359318,0.336459036173864,0.626113737096870 
 01/02  15:00:00,0.814919040482191,1.42295730691253,0.000000000000000E+000,0.817898503464343,0.000000000000000E+000,2.268716010627187E-002,2.268716010627187E-002,2.268716010627187E-002,0.107135438875193,2.197453803681636E-002,0.292642405135342,0.355404486268567,0.580576823737998 
 01/02  16:00:00,0.877426817717173,1.43939029520505,0.000000000000000E+000,0.827014499687059,0.000000000000000E+000,2.294002285752641E-002,2.294002285752641E-002,2.294002285752641E-002,0.133919315218456,2.746817254602046E-002,0.302863858133087,0.375160436902082,0.586532930390619 
 01/02  17:00:00,1.10961928237485,1.60747520395474,0.000000000000000E+000,0.935284575358442,0.000000000000000E+000,2.594325679311933E-002,2.594325679311933E-002,2.594325679311933E-002,0.224984414988118,4.614652714944218E-002,0.353721026385214,0.443749044998952,0.641623048456436 
 01/02  18:00:00,1.55941253465572,2.83931123613439,0.000000000000000E+000,2.04244807873976,0.000000000000000E+000,5.665415253218688E-002,5.665415253218688E-002,5.665415253218688E-002,0.417828218263038,8.570068743209509E-002,0.445070293491817,0.539084170876581,0.759728432754410 
 01/02  19:00:00,1.82135758530822,2.49113172299284,0.000000000000000E+000,1.58185173316914,0.000000000000000E+000,4.387796698830439E-002,4.387796698830439E-002,4.387796698830439E-002,0.621385558775688,0.127452298790557,0.398284023104866,0.585282701588801,0.868962886977128 
 01/02  20:00:00,1.77280732583520,2.52317833426062,0.000000000000000E+000,1.59464997268736,0.000000000000000E+000,4.423296911607254E-002,4.423296911607254E-002,4.423296911607254E-002,0.658882972356687,0.135143384375571,0.315346148810717,0.604126839116154,0.886913183405685 
 01/02  21:00:00,1.65490967559173,2.84007653250041,0.000000000000000E+000,1.97490783137408,0.000000000000000E+000,5.478069708617233E-002,5.478069708617233E-002,5.478069708617233E-002,0.567817872587024,0.116465029772149,0.275875148663200,0.624895915423182,0.822122848545808 
 01/02  22:00:00,1.52362638228102,3.14173237229633,0.000000000000000E+000,2.35639749535115,0.000000000000000E+000,6.536259331030837E-002,6.536259331030837E-002,6.536259331030837E-002,0.476752706319499,9.778667516872755E-002,0.258342489697899,0.610306905724587,0.743293985903516 
 01/02  23:00:00,1.25697306486546,3.37114134361033,0.000000000000000E+000,2.71667871276766,0.000000000000000E+000,7.535620208717927E-002,7.535620208717927E-002,7.535620208717927E-002,0.358903730206574,7.361468605610173E-002,0.205881020852975,0.528142413602635,0.618081627356573 
 01/02  24:00:00,0.993552077199337,3.63851910820676,0.000000000000000E+000,3.12409736332914,0.000000000000000E+000,8.665732577968960E-002,8.665732577968960E-002,8.665732577968960E-002,0.246411489463584,5.054142930106109E-002,0.135920890493347,0.458945930101656,0.482807329801466 
 01/03  01:00:00,0.724579501503490,3.55899875488206,0.000000000000000E+000,3.19359353212631,0.000000000000000E+000,8.858503527126513E-002,8.858503527126513E-002,8.858503527126513E-002,0.128562513350658,2.636944018843528E-002,8.636931076758889E-002,0.379618189865542,0.339255286047062 
 01/03  02:00:00,0.632270054114105,4.08497312711050,0.000000000000000E+000,3.78720613243420,0.000000000000000E+000,0.105050873082733,0.105050873082733,0.105050873082733,7.499482716199374E-002,1.538217117002709E-002,7.223881327716383E-002,0.349528357362187,0.273689791141455 
 01/03  03:00:00,0.600919573163577,4.46522119648957,0.000000000000000E+000,4.18548292006213,0.000000000000000E+000,0.116098416523946,0.116098416523946,0.116098416523946,5.356771943759626E-002,1.098726765447209E-002,5.971530281942931E-002,0.345475854668135,0.255940228875656 
 01/03  04:00:00,0.596954471023839,4.75848896955246,0.000000000000000E+000,4.47396920868828,0.000000000000000E+000,0.124100551985503,0.124100551985503,0.124100551985503,5.356771943759626E-002,1.098726765447209E-002,5.261106845099969E-002,0.340612851435269,0.261056700491986 
 01/03  05:00:00,0.599710855449284,4.99300636927293,0.000000000000000E+000,4.65719526797673,0.000000000000000E+000,0.129182941701477,0.129182941701477,0.129182941701477,5.356771943759626E-002,1.098726765447209E-002,6.315175921409334E-002,0.327746155381645,0.313234361170091 
